text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-11 18:51:00	RCV	51	1	106
2013-02-11 18:53:00	RCV	25	4	2
2013-02-11 18:54:00	SNT	49	11	1
2013-02-11 18:55:00	RCV	15	4	1
2013-02-11 18:55:00	SNT	53	11	0
2013-02-11 18:58:00	SNT	467	84	3
2013-02-11 18:59:00	SNT	244	48	1
2013-02-11 19:00:00	RCV	32	5	1
2013-02-11 19:00:00	SNT	184	35	0
2013-02-11 19:01:00	SNT	182	34	1
2013-02-11 19:02:00	RCV	49	1	1
2013-02-11 19:02:00	RCV	38	6	0
2013-02-11 19:04:00	RCV	41	9	2
2013-02-11 19:04:00	RCV	46	9	0
2013-02-11 19:05:00	SNT	58	12	1
2013-02-11 19:06:00	RCV	18	4	1
2013-02-11 19:06:00	RCV	168	32	0
2013-02-11 19:07:00	SNT	262	55	1
2013-02-11 19:10:00	SNT	98	17	3
2013-02-11 19:11:00	RCV	22	3	1
2013-02-11 19:11:00	RCV	42	9	0
2013-02-11 19:12:00	SNT	78	16	1
2013-02-11 19:13:00	SNT	3	1	1
2013-02-11 19:14:00	SNT	35	8	1
2013-02-11 19:15:00	RCV	122	24	1
2013-02-11 19:16:00	SNT	22	5	1
2013-02-11 19:17:00	RCV	8	1	1
2013-02-11 19:17:00	SNT	175	39	0
2013-02-11 19:18:00	SNT	111	20	1
2013-02-11 19:21:00	RCV	53	12	3
2013-02-11 19:22:00	RCV	19	4	1
2013-02-11 19:22:00	SNT	12	3	0
2013-02-11 19:22:00	RCV	13	2	0
2013-02-11 19:23:00	SNT	114	24	1
2013-02-11 19:24:00	SNT	84	17	1
2013-02-11 19:26:00	RCV	15	3	2
2013-02-11 19:29:00	RCV	120	22	3
2013-02-11 19:31:00	SNT	1	1	2
2013-02-11 19:32:00	SNT	110	19	1
2013-02-11 19:38:00	SNT	18	5	6
2013-02-11 19:38:00	RCV	72	12	0
2013-02-11 19:38:00	RCV	41	8	0
2013-02-11 19:38:00	RCV	16	3	0
2013-02-11 19:38:00	RCV	13	4	0
2013-02-11 19:39:00	SNT	141	30	1
2013-02-11 19:41:00	SNT	118	23	2
2013-02-11 19:43:00	RCV	145	25	2
2013-02-11 19:43:00	RCV	51	9	0
2013-02-11 19:45:00	SNT	113	21	2
2013-02-11 19:46:00	RCV	137	29	1
2013-02-11 19:46:00	SNT	12	2	0
2013-02-11 19:46:00	RCV	199	37	0
2013-02-11 19:47:00	SNT	106	21	1
2013-02-11 19:48:00	RCV	70	13	1
2013-02-11 19:49:00	SNT	149	33	1
2013-02-11 19:50:00	SNT	81	16	1
2013-02-11 19:59:00	RCV	46	11	9
2013-02-11 19:59:00	RCV	20	4	0
2013-02-11 20:01:00	SNT	72	15	2
2013-02-11 20:01:00	RCV	33	6	0
2013-02-11 20:03:00	SNT	125	21	2
2013-02-11 20:04:00	RCV	79	12	1
2013-02-11 20:10:00	SNT	85	16	6
2013-02-11 20:12:00	RCV	3	1	2
2013-02-11 20:12:00	RCV	28	4	0
2013-02-11 20:13:00	SNT	38	8	1
2013-02-11 20:15:00	RCV	191	34	2
2013-02-11 20:16:00	SNT	18	3	1
2013-02-11 20:16:00	RCV	8	2	0
2013-02-11 20:16:00	SNT	67	11	0
2013-02-11 20:17:00	RCV	106	18	1
2013-02-11 20:17:00	SNT	54	12	0
2013-02-11 20:18:00	RCV	40	7	1
2013-02-11 20:19:00	SNT	26	5	1
2013-02-11 20:20:00	RCV	137	24	1
2013-02-11 20:21:00	SNT	42	7	1
2013-02-11 20:22:00	SNT	52	9	1
2013-02-11 20:23:00	RCV	24	4	1
2013-02-11 20:23:00	RCV	19	4	0
2013-02-11 20:25:00	RCV	59	12	2
2013-02-11 20:26:00	RCV	71	12	1
2013-02-11 20:27:00	RCV	27	6	1
2013-02-11 20:27:00	RCV	18	3	0
2013-02-11 20:27:00	RCV	17	4	0
2013-02-11 20:27:00	RCV	41	7	0
2013-02-11 20:27:00	SNT	81	12	0
